FQDN;NNI1;NNI2;NNI3;NNI4
edge1-lit-gq;edge1-lim1;edge1-lim2;empty;empty
edge1-lit-oconnell;edge1-lim1;edge1-lim2;empty;empty
edge1-lit-questum;edge1-lit-clonmel;empty;empty;empty
edge1-lit-sad;edge1-lim1;edge1-lim2;empty;empty
edge1-lit-thurles;edge1-cwt;empty;empty;empty
edge1-lmetb;empty;empty;empty;empty
edge1-lyit-killybegs;edge2-pw;empty;empty;empty
edge1-mac;dist1-ait;empty;empty;empty
edge1-mi;edge1-gal1;empty;empty;empty
edge1-mic;edge1-lim1;edge1-lim2;empty;empty
edge1-mic-spt;edge1-lit-thurles;empty;empty;empty
edge1-mi-furnace;edge2-pw;empty;empty;empty
edge1-mi-smb;edge1-gal1;empty;empty;empty
edge1-mi-spiddal;edge1-gal1;empty;empty;empty
edge1-mi-wilton;edge2-cwt;empty;empty;empty
edge1-mu-kilkenny;edge2-pw;empty;empty;empty
edge1-ncri;edge1-cork1;edge1-cork2;empty;empty
edge1-ndrc;empty;empty;empty;empty
edge1-nfetlhe;edge1-ria;empty;empty;empty
edge1-nui;empty;empty;empty;empty
edge1-nuig-asng;edge1-gal1;empty;empty;empty
edge1-nuig-carna;edge1-gal1;empty;empty;empty
edge1-nuig-carraroe;edge1-gal1;empty;empty;empty
edge1-nuig-carron;edge1-gal1;empty;empty;empty
edge1-nuig-cimru;edge1-gal1;edge1-gal2;empty;empty
edge1-nuig-csc;edge1-gal1;edge1-gal2;empty;empty
edge1-nuig-gweedore;edge2-pw;empty;empty;empty
edge1-nuig-lgh;dist1-lyit;empty;empty;empty
edge1-nuig-martinryan;edge1-gal1;empty;empty;empty
edge1-nuig-mhars;edge1-gal1;empty;empty;empty
edge1-nuig-neb;edge1-gal1;empty;empty;empty
edge1-nuig-shannon;edge1-lim1;empty;empty;empty
edge1-nuig-sma;dist1-its;empty;empty;empty
edge1-nuig-srb;edge1-gal1;empty;empty;empty
edge1-nuig-stacs;dist1-its;empty;empty;empty
edge1-oir;edge1-tcd;empty;empty;empty
edge1-pac;edge1-gal1;empty;empty;empty
edge1-pdst;edge2-dcu;empty;empty;empty
edge1-pw;core1-pw;empty;empty;empty
edge1-qqi-denzille;edge1-cwt;edge1-qqi-mount;empty;empty
edge1-qub;edge2-cwt;dist2-lyit;empty;empty
edge1-rcpi;edge1-pw;empty;empty;empty
edge1-rcpi-kildarest;empty;empty;empty;empty
edge1-rcpi-setanta;empty;empty;empty;empty
edge1-ria;empty;empty;empty;empty
edge1-riam;edge1-pw;empty;empty;empty
edge1-rte;empty;empty;empty;empty
edge1-sjc;empty;empty;empty;empty
edge1-tcd;core1-tcd;empty;empty;empty
edge1-tcd-amnch;edge1-cwt;empty;empty;empty
edge1-tcd-dartry;edge1-pw;edge2-tcd-dartry;empty;empty
edge1-tcd-dolier;empty;empty;empty;empty
edge1-tcd-ent;empty;empty;empty;empty
edge1-tcd-foster;empty;empty;empty;empty
edge1-tcd-lofar;empty;empty;empty;empty
edge1-tcd-som;edge1-cwt;empty;empty;empty
edge1-tcd-stackb;edge1-tcd;empty;empty;empty
edge1-tcd-stjames;empty;empty;empty;empty
edge1-thea;empty;empty;empty;empty
edge1-ucc-beaufort;empty;empty;empty;empty
edge1-ucc-bsu;empty;empty;empty;empty
edge1-ucc-ci;empty;empty;empty;empty
edge1-ucc-csa;edge1-cork1;edge1-cork2;empty;empty
edge1-ucc-grctc;empty;empty;empty;empty
edge1-ucc-hmrc;edge1-cork1;edge1-cork2;empty;empty
edge1-ucc-imi;empty;empty;empty;empty
edge1-ucd;core1-ucd;empty;empty;empty
edge1-ucd-carysfort;edge1-cwt;edge2-ucd-carysfort;empty;empty
edge1-ucd-eccles;empty;empty;empty;empty
edge1-ucd-lyons;empty;empty;empty;empty
edge1-ucd-newhse;empty;empty;empty;empty
edge1-ucd-olhsc;edge2-dcu;empty;empty;empty
edge1-ucd-rveeh;empty;empty;empty;empty
edge1-ucd-svuh;edge1-tcd;edge2-tcd;empty;empty
edge1-ul-cerc;edge1-lim1;edge1-lim2;empty;empty
edge1-ul-outreach;edge1-lim1;edge1-lim2;empty;empty
edge1-ul-portiuncula;edge2-pw;empty;empty;empty
edge1-ul-troy;edge1-lim1;empty;empty;empty
edge1-wit-col;dist1-wat1;dist1-wat2;empty;empty
edge1-wit-gb;dist1-wat1;dist1-wat2;empty;empty
edge1-wit-stkiaran;empty;empty;empty;empty
edge2-blanch;core2-blanch;empty;empty;empty
edge2-cao;edge1-gal2;edge1-cao;empty;empty
edge2-cwt;core2-cwt;empty;empty;empty
edge2-dcu;core2-dcu;empty;empty;empty
edge1-dcu-spd2;edge2-dcu;edge1-dcu-spd1;empty;empty
edge2-educampus-cwt;edge1-cwt;edge1-educampus-cwt;empty;empty
edge2-gd5-testlab;empty;empty;empty;empty
edge2-ittd-rem;empty;empty;empty;empty
edge2-oir;edge1-cwt;empty;empty;empty
edge2-pw;core2-pw;empty;empty;empty
edge-qqi-mount;edge1-pw;edge1-qqi-denzille;empty;empty
edge2-tcd;core2-tcd;empty;empty;empty
edge2-tcd-dartry;edge1-cwt;edge1-tcd-dartry;empty;empty
edge2-ucd;core2-ucd;empty;empty;empty
edge2-ucd-carysfort;edge1-ucd;edge1-ucd-carysfort;empty;empty
rr1-cwt;core1-cwt;core2-cwt;empty;empty
rr1-pw;core1-pw;core2-pw;empty;empty
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
