FQDN;NNI1;NNI2;NNI3;NNI4
edge1-cit-blackrock.nn.hea.net;dist1-cit.nn.hea.net;none.nn.hea.net;empty;empty
edge1-cit-crawford.nn.hea.net;edge1-cork1.nn.hea.net;edge1-cork2.nn.hea.net;empty;empty
edge1-cit-csm.nn.hea.net;edge1-cork1.nn.hea.net;edge1-cork2.nn.hea.net;empty;empty
edge1-cit-nmci.nn.hea.net;edge1-cork1.nn.hea.net;none.nn.hea.net;empty;empty
edge1-cix.nn.hea.net;core1-cork11.nn.hea.net;empty;empty;empty
edge1-coa.nn.hea.net;edge1-pw.nn.hea.net;none.nn.hea.net;empty;empty
edge1-cork1.nn.hea.net;core1-cork1.nn.hea.net;empty;empty;empty
edge1-cork2.nn.hea.net;core1-cork2.nn.hea.net;empty;empty;empty
edge1-corketb.nn.hea.net;edge1-cork1.nn.hea.net;none.nn.hea.net;empty;empty
edge1-cwt.nn.hea.net;core1-cwt.nn.hea.net;empty;empty;empty
edge1-dcu.nn.hea.net;core1-dcu.nn.hea.net;empty;empty;empty
edge1-dcu-allhallows.nn.hea.net;edge2-dcu.nn.hea.net;none.nn.hea.net;empty;empty
edge1-dcu-glasnevin.nn.hea.net;edge1-dcu.nn.hea.net;edge2-dcu.nn.hea.net;empty;empty
edge1-dcu-spd.nn.hea.net;edge1-dcu.nn.hea.net;edge2-dcu.nn.hea.net;empty;empty
edge1-dcu-spd.nn.hea.net;edge1-dcu.nn.hea.net;edge2-dcu-spd.nn.hea.net;empty;empty
edge1-dcu-tonyryan.nn.hea.net;edge1-cwt.nn.hea.net;none.nn.hea.net;empty;empty
edge1-depot.nn.hea.net;edge1-tcd.nn.hea.net;none.nn.hea.net;empty;empty
edge1-dfei.nn.hea.net;empty;empty;empty;empty
edge1-dias-bur.nn.hea.net;empty;empty;empty;empty
edge1-dias-fitz.nn.hea.net;empty;empty;empty;empty
edge1-dit-airport.nn.hea.net;edge1-pw.nn.hea.net;none.nn.hea.net;empty;empty
edge1-dit-boltonst.nn.hea.net;empty;empty;empty;empty
edge1-dit-mountjoy.nn.hea.net;empty;empty;empty;empty
edge1-educampus-cwt.nn.hea.net;edge1-cwt.nn.hea.net;edge2-educampus-cwt.nn.hea.net;empty;empty
edge1-educampus-santry.nn.hea.net;edge1-bh.nn.hea.net;none.nn.hea.net;empty;empty
edge1-epa-clonskeagh.nn.hea.net;empty;empty;empty;empty
edge1-epa-wexford.nn.hea.net;empty;empty;empty;empty
edge1-esri.nn.hea.net;empty;empty;empty;empty
edge1-etbi.nn.hea.net;edge1-cwt.nn.hea.net;empty;empty;empty
edge1-gal1.nn.hea.net;core1-gal1.nn.hea.net;empty;empty;empty
edge1-gal2.nn.hea.net;core1-gal2.nn.hea.net;empty;empty;empty
edge1-gd5-testlab.nn.hea.net;empty;empty;empty;empty
edge1-gd5-testlab.nn.hea.net;empty;empty;empty;empty
edge1-gd5-testlab.nn.hea.net;empty;empty;empty;empty
edge1-gmit-castlebar.nn.hea.net;edge2-pw.nn.hea.net;empty;empty;empty
edge1-gmit-cm.nn.hea.net;edge1-gal1.nn.hea.net;edge1-gal2.nn.hea.net;empty;empty
edge1-gmit-letterfrack.nn.hea.net;edge1-gal1.nn.hea.net;empty;empty;empty
edge1-hea.nn.hea.net;empty;empty;empty;empty
edge1-hrb.nn.hea.net;empty;empty;empty;empty
edge1-ichec-hq.nn.hea.net;empty;empty;empty;empty
edge1-ichec-ucd.nn.hea.net;empty;empty;empty;empty
edge1-iedr.nn.hea.net;empty;empty;empty;empty
edge1-ipa.nn.hea.net;empty;empty;empty;empty
edge1-ips.nn.hea.net;edge2-pw.nn.hea.net;empty;empty;empty
edge1-itc-wexford.nn.hea.net;empty;empty;empty;empty
edge1-itc-wicklow.nn.hea.net;empty;empty;empty;empty
edge1-ittd-premier.nn.hea.net;empty;empty;empty;empty
edge1-ittd-rem.nn.hea.net;empty;empty;empty;empty
edge1-ittd-tdc.nn.hea.net;empty;empty;empty;empty
edge1-iua.nn.hea.net;empty;empty;empty;empty
edge1-kp.nn.hea.net;edge1-cwt.nn.hea.net;empty;empty;empty
edge1-lcetb.nn.hea.net;edge1-lim1.nn.hea.net;edge1-lim2.nn.hea.net;empty;empty
edge1-lim1.nn.hea.net;core1-lim1.nn.hea.net;empty;empty;empty
edge1-lim2.nn.hea.net;core1-lim2.nn.hea.net;empty;empty;empty
edge1-lit-clonmel.nn.hea.net;core1-gal1.nn.hea.net;empty;empty;empty
edge1-lit-coonagh.nn.hea.net;empty;empty;empty;empty
edge1-lit-gq.nn.hea.net;edge1-lim1.nn.hea.net;edge1-lim2.nn.hea.net;empty;empty
edge1-lit-oconnell.nn.hea.net;edge1-lim1.nn.hea.net;edge1-lim2.nn.hea.net;empty;empty
edge1-lit-questum.nn.hea.net;edge1-lit-clonmel.nn.hea.net;empty;empty;empty
edge1-lit-sad.nn.hea.net;edge1-lim1.nn.hea.net;edge1-lim2.nn.hea.net;empty;empty
edge1-lit-thurles.nn.hea.net;edge1-cwt.nn.hea.net;empty;empty;empty
edge1-lmetb.nn.hea.net;empty;empty;empty;empty
edge1-lyit-killybegs.nn.hea.net;edge2-pw.nn.hea.net;empty;empty;empty
edge1-mac.nn.hea.net;dist1-ait.nn.hea.net;empty;empty;empty
edge1-mi.nn.hea.net;edge1-gal1.nn.hea.net;empty;empty;empty
edge1-mic.nn.hea.net;edge1-lim1.nn.hea.net;edge1-lim2.nn.hea.net;empty;empty
edge1-mic-spt.nn.hea.net;edge1-lit-thurles.nn.hea.net;empty;empty;empty
edge1-mi-furnace.nn.hea.net;edge2-pw.nn.hea.net;empty;empty;empty
edge1-mi-smb.nn.hea.net;edge1-gal1.nn.hea.net;empty;empty;empty
edge1-mi-spiddal.nn.hea.net;edge1-gal1.nn.hea.net;empty;empty;empty
edge1-mi-wilton.nn.hea.net;edge2-cwt.nn.hea.net;empty;empty;empty
edge1-mu-kilkenny.nn.hea.net;edge2-pw.nn.hea.net;empty;empty;empty
edge1-ncri.nn.hea.net;edge1-cork1.nn.hea.net;edge1-cork2.nn.hea.net;empty;empty
edge1-ndrc.nn.hea.net;empty;empty;empty;empty
edge1-nfetlhe.nn.hea.net;edge1-ria.nn.hea.net;empty;empty;empty
edge1-nui.nn.hea.net;empty;empty;empty;empty
edge1-nuig-asng.nn.hea.net;edge1-gal1.nn.hea.net;none.nn.hea.net;empty;empty
edge1-nuig-carna.nn.hea.net;edge1-gal1.nn.hea.net;empty;empty;empty
edge1-nuig-carraroe.nn.hea.net;edge1-gal1.nn.hea.net;empty;empty;empty
